customerID,RiskScore,RiskTier,tenure,MonthlyCharges,Contract,InternetService,PaymentMethod
2424-WVHPL,8,call this week,1,74.7,Month-to-month,Fiber optic,Electronic check
0021-IKXGC,8,call this week,1,72.1,Month-to-month,Fiber optic,Electronic check
8775-ERLNB,8,call this week,1,74.3,Month-to-month,Fiber optic,Electronic check
9603-OAIHC,8,call this week,1,70.05,Month-to-month,Fiber optic,Electronic check
3878-AVSOQ,8,call this week,1,71.25,Month-to-month,Fiber optic,Electronic check
9605-WGJVW,8,call this week,1,70.2,Month-to-month,Fiber optic,Electronic check
2545-EBUPK,8,call this week,2,84.05,Month-to-month,Fiber optic,Electronic check
9799-CAYJJ,8,call this week,2,69.3,Month-to-month,Fiber optic,Electronic check
2880-FPNAE,8,call this week,2,74.2,Month-to-month,Fiber optic,Electronic check
5119-NZPTV,8,call this week,2,70.1,Month-to-month,Fiber optic,Electronic check
4854-CIDCF,8,call this week,3,73.85,Month-to-month,Fiber optic,Electronic check
5150-ITWWB,8,call this week,3,94.85,Month-to-month,Fiber optic,Electronic check
0221-WMXNQ,8,call this week,4,75.35,Month-to-month,Fiber optic,Electronic check
6630-UJZMY,8,call this week,4,83.25,Month-to-month,Fiber optic,Electronic check
1251-STYSZ,8,call this week,4,80.25,Month-to-month,Fiber optic,Electronic check
3223-DWFIO,8,call this week,4,69.35,Month-to-month,Fiber optic,Electronic check
1197-BVMVG,8,call this week,4,74.45,Month-to-month,Fiber optic,Electronic check
0581-BXBUB,8,call this week,4,72.75,Month-to-month,Fiber optic,Electronic check
7044-YAACC,8,call this week,4,70.2,Month-to-month,Fiber optic,Electronic check
6350-XFYGW,8,call this week,4,94.75,Month-to-month,Fiber optic,Electronic check
0644-OQMDK,8,call this week,4,70.65,Month-to-month,Fiber optic,Electronic check
2799-ARNLO,8,call this week,5,69.35,Month-to-month,Fiber optic,Electronic check
6705-LXORM,8,call this week,5,70.05,Month-to-month,Fiber optic,Electronic check
8242-SOQUO,8,call this week,5,84.7,Month-to-month,Fiber optic,Electronic check
4395-PZMSN,8,call this week,5,85.55,Month-to-month,Fiber optic,Electronic check
6458-CYIDZ,8,call this week,5,80.7,Month-to-month,Fiber optic,Electronic check
4847-TAJYI,8,call this week,6,89.35,Month-to-month,Fiber optic,Electronic check
9957-YODKZ,8,call this week,6,80.8,Month-to-month,Fiber optic,Electronic check
1658-TJVOA,8,call this week,6,74.1,Month-to-month,Fiber optic,Electronic check
6229-LSCKB,8,call this week,6,79.7,Month-to-month,Fiber optic,Electronic check
4115-NZRKS,8,call this week,7,89.15,Month-to-month,Fiber optic,Electronic check
2123-AGEEN,8,call this week,7,84.35,Month-to-month,Fiber optic,Electronic check
0187-QSXOE,8,call this week,7,89,Month-to-month,Fiber optic,Electronic check
9334-GWGOW,8,call this week,7,74.85,Month-to-month,Fiber optic,Electronic check
2077-MPJQO,8,call this week,7,75.4,Month-to-month,Fiber optic,Electronic check
1016-DJTSV,8,call this week,8,69.7,Month-to-month,Fiber optic,Electronic check
1200-TUZHR,8,call this week,8,85.2,Month-to-month,Fiber optic,Electronic check
4884-ZTHVF,8,call this week,8,87.1,Month-to-month,Fiber optic,Electronic check
6860-YRJZP,8,call this week,9,74.05,Month-to-month,Fiber optic,Electronic check
2688-BHGOG,8,call this week,9,79.55,Month-to-month,Fiber optic,Electronic check
6969-MVBAI,8,call this week,9,90.1,Month-to-month,Fiber optic,Electronic check
9518-XXBXE,8,call this week,10,75.3,Month-to-month,Fiber optic,Electronic check
5701-YVSVF,8,call this week,11,82.9,Month-to-month,Fiber optic,Electronic check
3292-PBZEJ,8,call this week,11,111.4,Month-to-month,Fiber optic,Electronic check
7206-PQBBZ,8,call this week,11,70.2,Month-to-month,Fiber optic,Electronic check
5288-AHOUP,8,call this week,11,78.5,Month-to-month,Fiber optic,Electronic check
1452-VOQCH,7,call this week,1,75.1,Month-to-month,Fiber optic,Electronic check
7439-DKZTW,7,call this week,1,80.55,Month-to-month,Fiber optic,Electronic check
2018-QKYGT,7,call this week,1,81.05,Month-to-month,Fiber optic,Electronic check
8309-IEYJD,7,call this week,1,70.6,Month-to-month,Fiber optic,Mailed check
1393-IMKZG,7,call this week,1,95.85,Month-to-month,Fiber optic,Electronic check
2262-SLNVK,7,call this week,1,70.1,Month-to-month,Fiber optic,Electronic check
5542-TBBWB,7,call this week,1,69.9,Month-to-month,Fiber optic,Electronic check
5043-TRZWM,7,call this week,1,75.55,Month-to-month,Fiber optic,Electronic check
1640-PLFMP,7,call this week,1,70.25,Month-to-month,Fiber optic,Electronic check
8687-BAFGU,7,call this week,1,74,Month-to-month,Fiber optic,Electronic check
7465-ZZRVX,7,call this week,1,70.35,Month-to-month,Fiber optic,Electronic check
7577-SWIFR,7,call this week,1,89.25,Month-to-month,Fiber optic,Electronic check
9840-EFJQB,7,call this week,1,74.35,Month-to-month,Fiber optic,Electronic check
1941-HOSAM,7,call this week,1,90.1,Month-to-month,Fiber optic,Electronic check
4273-MBHYA,7,call this week,1,89.35,Month-to-month,Fiber optic,Electronic check
4912-PIGUY,7,call this week,1,84.6,Month-to-month,Fiber optic,Electronic check
1628-BIZYP,7,call this week,1,85,Month-to-month,Fiber optic,Electronic check
4929-XIHVW,7,call this week,2,95.5,Month-to-month,Fiber optic,Credit card (automatic)
4482-EWFMI,7,call this week,2,69.7,Month-to-month,Fiber optic,Electronic check
4234-XTNEA,7,call this week,2,79.95,Month-to-month,Fiber optic,Electronic check
6923-JHPMP,7,call this week,2,80.45,Month-to-month,Fiber optic,Electronic check
0139-IVFJG,7,call this week,2,90.35,Month-to-month,Fiber optic,Electronic check
4741-WWJQZ,7,call this week,2,80.15,Month-to-month,Fiber optic,Electronic check
7321-VGNKU,7,call this week,2,70.35,Month-to-month,Fiber optic,Electronic check
6407-UTSLV,7,call this week,2,83.8,Month-to-month,Fiber optic,Bank transfer (automatic)
5091-HFAZW,7,call this week,2,91.15,Month-to-month,Fiber optic,Electronic check
9050-IKDZA,7,call this week,2,81.5,Month-to-month,Fiber optic,Mailed check
4927-WWOOZ,7,call this week,2,91.45,Month-to-month,Fiber optic,Electronic check
6645-MXQJT,7,call this week,2,97.1,Month-to-month,Fiber optic,Electronic check
4770-UEZOX,7,call this week,2,74.75,Month-to-month,Fiber optic,Electronic check
2897-DOVND,7,call this week,2,69.8,Month-to-month,Fiber optic,Electronic check
3489-HHPFY,7,call this week,2,84.05,Month-to-month,Fiber optic,Electronic check
0508-OOLTO,7,call this week,2,71.65,Month-to-month,Fiber optic,Electronic check
7394-LWLYN,7,call this week,2,70.15,Month-to-month,Fiber optic,Electronic check
9717-QEBGU,7,call this week,2,70.3,Month-to-month,Fiber optic,Electronic check
3420-YJLQT,7,call this week,2,79.55,Month-to-month,Fiber optic,Electronic check
7379-FNIUJ,7,call this week,2,100.2,Month-to-month,Fiber optic,Electronic check
3295-YVUSR,7,call this week,2,72.6,Month-to-month,Fiber optic,Mailed check
2080-GKCWQ,7,call this week,2,74.95,Month-to-month,Fiber optic,Electronic check
3422-GALYP,7,call this week,2,79.45,Month-to-month,Fiber optic,Electronic check
5442-BHQNG,7,call this week,2,70.35,Month-to-month,Fiber optic,Electronic check
3071-VBYPO,7,call this week,3,89.85,Month-to-month,Fiber optic,Electronic check
3966-HRMZA,7,call this week,3,75.05,Month-to-month,Fiber optic,Mailed check
0455-XFASS,7,call this week,3,69.55,Month-to-month,Fiber optic,Electronic check
6077-BDPXA,7,call this week,3,70.15,Month-to-month,Fiber optic,Electronic check
2984-AFWNC,7,call this week,3,95.4,Month-to-month,Fiber optic,Electronic check
2081-VEYEH,7,call this week,3,107.95,Month-to-month,Fiber optic,Electronic check
7398-SKNQZ,7,call this week,3,94.9,Month-to-month,Fiber optic,Electronic check
3318-NMQXL,7,call this week,3,92,Month-to-month,Fiber optic,Electronic check
7245-NIIWQ,7,call this week,3,69.85,Month-to-month,Fiber optic,Electronic check
2789-HQBOU,7,call this week,3,80.35,Month-to-month,Fiber optic,Electronic check
0258-NOKBL,7,call this week,3,90.4,Month-to-month,Fiber optic,Electronic check
9643-AVVWI,7,call this week,3,80,Month-to-month,Fiber optic,Electronic check
6357-JJPQT,7,call this week,3,80.5,Month-to-month,Fiber optic,Electronic check
4090-KPJIP,7,call this week,3,74.95,Month-to-month,Fiber optic,Electronic check
0225-ZORZP,7,call this week,3,84.3,Month-to-month,Fiber optic,Electronic check
9633-XQABV,7,call this week,3,70.25,Month-to-month,Fiber optic,Electronic check
3370-HXOPH,7,call this week,3,76.1,Month-to-month,Fiber optic,Electronic check
2325-NBPZG,7,call this week,3,74.55,Month-to-month,Fiber optic,Electronic check
7823-JSOAG,7,call this week,3,74.5,Month-to-month,Fiber optic,Electronic check
3411-WLRSQ,7,call this week,3,74.6,Month-to-month,Fiber optic,Bank transfer (automatic)
3191-CSNMG,7,call this week,3,80.7,Month-to-month,Fiber optic,Electronic check
8266-VBFQL,7,call this week,4,90.4,Month-to-month,Fiber optic,Electronic check
0793-TWELN,7,call this week,4,80.15,Month-to-month,Fiber optic,Electronic check
2038-OEQZH,7,call this week,4,86.05,Month-to-month,Fiber optic,Electronic check
3496-LFSZU,7,call this week,4,70.5,Month-to-month,Fiber optic,Electronic check
3904-UKFRE,7,call this week,4,80.1,Month-to-month,Fiber optic,Electronic check
4749-OJKQU,7,call this week,4,75.65,Month-to-month,Fiber optic,Electronic check
5339-PXDVH,7,call this week,4,90.65,Month-to-month,Fiber optic,Electronic check
6786-OBWQR,7,call this week,5,80.85,Month-to-month,Fiber optic,Electronic check
6198-ZFIOJ,7,call this week,5,75.6,Month-to-month,Fiber optic,Electronic check
6435-SRWBJ,7,call this week,5,82.75,Month-to-month,Fiber optic,Electronic check
3420-ZDBMA,7,call this week,5,71.45,Month-to-month,Fiber optic,Mailed check
8739-XNIKG,7,call this week,5,84,Month-to-month,Fiber optic,Electronic check
6734-GMPVK,7,call this week,5,105.3,Month-to-month,Fiber optic,Electronic check
0018-NYROU,7,call this week,5,68.95,Month-to-month,Fiber optic,Electronic check
6918-UMQCG,7,call this week,5,80.2,Month-to-month,Fiber optic,Electronic check
5399-ZIMKF,7,call this week,5,74.65,Month-to-month,Fiber optic,Electronic check
4853-OITSN,7,call this week,5,89.15,Month-to-month,Fiber optic,Electronic check
4566-NECEV,7,call this week,5,96.55,Month-to-month,Fiber optic,Electronic check
8622-ZLFKO,7,call this week,6,90.75,Month-to-month,Fiber optic,Electronic check
3453-RTHJQ,7,call this week,6,69.1,Month-to-month,Fiber optic,Electronic check
5760-FXFVO,7,call this week,6,78.95,Month-to-month,Fiber optic,Electronic check
7326-RIGQZ,7,call this week,6,69.8,Month-to-month,Fiber optic,Electronic check
8035-PWSEV,7,call this week,6,89.25,Month-to-month,Fiber optic,Electronic check
3462-BJQQA,7,call this week,6,89.75,Month-to-month,Fiber optic,Electronic check
4291-SHSBH,7,call this week,7,69.55,Month-to-month,Fiber optic,Electronic check
7905-NJMXS,7,call this week,7,64.2,Month-to-month,DSL,Electronic check
7351-KYHQH,7,call this week,7,64.95,Month-to-month,DSL,Electronic check
1475-VWVDO,7,call this week,7,74.9,Month-to-month,Fiber optic,Electronic check
0722-SVSFK,7,call this week,7,100.4,Month-to-month,Fiber optic,Electronic check
8325-QRPZR,7,call this week,7,75.15,Month-to-month,Fiber optic,Electronic check
0840-DFEZH,7,call this week,7,75.35,Month-to-month,Fiber optic,Electronic check
1077-HUUJM,7,call this week,7,71.05,Month-to-month,Fiber optic,Electronic check
8161-QYMTT,7,call this week,7,94.1,Month-to-month,Fiber optic,Electronic check
4060-LDNLU,7,call this week,7,96.2,Month-to-month,Fiber optic,Electronic check
5168-MSWXT,7,call this week,8,94.75,Month-to-month,Fiber optic,Electronic check
8584-KMVXD,7,call this week,8,75.6,Month-to-month,Fiber optic,Electronic check
3030-YDNRM,7,call this week,8,74.85,Month-to-month,Fiber optic,Electronic check
2754-SDJRD,7,call this week,8,100.15,Month-to-month,Fiber optic,Credit card (automatic)
4813-HQMGZ,7,call this week,8,90.25,Month-to-month,Fiber optic,Electronic check
9796-BPKIW,7,call this week,8,69.95,Month-to-month,Fiber optic,Credit card (automatic)
3199-XGZCY,7,call this week,8,75.25,Month-to-month,Fiber optic,Electronic check
4480-QQRHC,7,call this week,8,74.05,Month-to-month,Fiber optic,Bank transfer (automatic)
8541-QVFKM,7,call this week,8,73.5,Month-to-month,Fiber optic,Electronic check
8270-RKSAP,7,call this week,9,70.5,Month-to-month,Fiber optic,Electronic check
7363-QTBIW,7,call this week,9,79.75,Month-to-month,Fiber optic,Electronic check
1219-NNDDO,7,call this week,9,76.85,Month-to-month,Fiber optic,Electronic check
7020-OZKXZ,7,call this week,9,75.5,Month-to-month,Fiber optic,Credit card (automatic)
8087-LGYHQ,7,call this week,9,94.05,Month-to-month,Fiber optic,Electronic check
3987-KQDDU,7,call this week,9,75.6,Month-to-month,Fiber optic,Electronic check
0570-BFQHT,7,call this week,9,80.55,Month-to-month,Fiber optic,Electronic check
2018-PZKMU,7,call this week,9,103.1,Month-to-month,Fiber optic,Electronic check
4123-DVHPH,7,call this week,9,88.05,Month-to-month,Fiber optic,Electronic check
8118-TJAFG,7,call this week,9,101.5,Month-to-month,Fiber optic,Electronic check
7354-OIJLX,7,call this week,9,75.85,Month-to-month,Fiber optic,Electronic check
5928-QLDHB,7,call this week,9,76.25,Month-to-month,Fiber optic,Electronic check
4299-SIMNS,7,call this week,9,81.15,Month-to-month,Fiber optic,Electronic check
8990-ZXLSU,7,call this week,9,69.05,Month-to-month,Fiber optic,Electronic check
5022-JNQEQ,7,call this week,9,75.85,Month-to-month,Fiber optic,Electronic check
8778-LMWTJ,7,call this week,9,74.85,Month-to-month,Fiber optic,Electronic check
6339-YPSAH,7,call this week,9,73.8,Month-to-month,Fiber optic,Electronic check
2215-ZAFGX,7,call this week,9,85.5,Month-to-month,Fiber optic,Electronic check
3914-FDRHP,7,call this week,9,86.25,Month-to-month,Fiber optic,Electronic check
8734-DKSTZ,7,call this week,10,85.95,Month-to-month,Fiber optic,Electronic check
1960-UYCNN,7,call this week,10,95.25,Month-to-month,Fiber optic,Electronic check
6818-DJXAA,7,call this week,10,91.1,Month-to-month,Fiber optic,Electronic check
9773-PEQBZ,7,call this week,10,79.85,Month-to-month,Fiber optic,Electronic check
2657-VPXTA,7,call this week,10,88.85,Month-to-month,Fiber optic,Electronic check
9494-MRNYX,7,call this week,10,75.05,Month-to-month,Fiber optic,Electronic check
2501-XWWTZ,7,call this week,11,70.2,Month-to-month,Fiber optic,Electronic check
5879-SESNB,7,call this week,11,75.25,Month-to-month,Fiber optic,Electronic check
2460-NGXBJ,7,call this week,11,75.2,Month-to-month,Fiber optic,Credit card (automatic)
1391-UBDAR,7,call this week,11,72.9,Month-to-month,Fiber optic,Electronic check
7928-VJYAB,7,call this week,11,90.6,Month-to-month,Fiber optic,Electronic check
9093-FPDLG,7,call this week,11,94.2,Month-to-month,Fiber optic,Electronic check
0315-LVCRK,7,call this week,11,84.8,Month-to-month,Fiber optic,Electronic check
3969-GYXEL,7,call this week,11,76.4,Month-to-month,Fiber optic,Electronic check
3797-FKOGQ,7,call this week,11,86.2,Month-to-month,Fiber optic,Electronic check
7072-MBHEV,7,call this week,11,78.1,Month-to-month,Fiber optic,Credit card (automatic)
5271-DBYSJ,7,call this week,11,79.15,Month-to-month,Fiber optic,Credit card (automatic)
1173-XZPYF,7,call this week,11,89.2,Month-to-month,Fiber optic,Electronic check
5348-CAGXB,7,call this week,12,89.55,Month-to-month,Fiber optic,Electronic check
7145-FEJWU,7,call this week,12,105.3,Month-to-month,Fiber optic,Electronic check
7517-LDMPS,7,call this week,12,84.6,Month-to-month,Fiber optic,Electronic check
8800-JOOCF,7,call this week,12,84.05,Month-to-month,Fiber optic,Electronic check
1508-DFXCU,7,call this week,12,81.45,Month-to-month,Fiber optic,Electronic check
8104-OSKWT,7,call this week,12,79.8,Month-to-month,Fiber optic,Electronic check
7858-GTZSP,7,call this week,12,86.55,Month-to-month,Fiber optic,Electronic check
8224-DWCKX,7,call this week,12,73.3,Month-to-month,Fiber optic,Credit card (automatic)
1319-YLZJG,7,call this week,12,84.6,Month-to-month,Fiber optic,Electronic check
5429-LWCMV,7,call this week,12,89.15,Month-to-month,Fiber optic,Electronic check
3338-CVVEH,7,call this week,12,94.55,Month-to-month,Fiber optic,Electronic check
1689-YQBYY,7,call this week,12,76.6,Month-to-month,Fiber optic,Electronic check
9290-SHCMB,7,call this week,13,96.85,Month-to-month,Fiber optic,Electronic check
0916-QOFDP,7,call this week,14,95.8,Month-to-month,Fiber optic,Electronic check
8107-KNCIM,7,call this week,14,75.1,Month-to-month,Fiber optic,Electronic check
3320-VEOYC,7,call this week,14,95.6,Month-to-month,Fiber optic,Electronic check
6646-JPPHA,7,call this week,14,78.85,Month-to-month,Fiber optic,Electronic check
9402-ORRAH,7,call this week,15,91.5,Month-to-month,Fiber optic,Electronic check
6583-KQJLK,7,call this week,15,94.65,Month-to-month,Fiber optic,Electronic check
5937-EORGB,7,call this week,15,96.5,Month-to-month,Fiber optic,Electronic check
6557-BZXLQ,7,call this week,16,69.65,Month-to-month,Fiber optic,Electronic check
4583-PARNH,7,call this week,16,91.55,Month-to-month,Fiber optic,Electronic check
1226-IENZN,7,call this week,16,78.75,Month-to-month,Fiber optic,Electronic check
5935-FCCNB,7,call this week,17,94.2,Month-to-month,Fiber optic,Electronic check
3629-ZNKXA,7,call this week,17,101.8,Month-to-month,Fiber optic,Electronic check
7225-CBZPL,7,call this week,17,94.8,Month-to-month,Fiber optic,Electronic check
7668-XCFYV,7,call this week,17,92.55,Month-to-month,Fiber optic,Electronic check
0650-BWOZN,7,call this week,18,73.55,Month-to-month,Fiber optic,Electronic check
9208-OLGAQ,7,call this week,18,84.95,Month-to-month,Fiber optic,Electronic check
0439-IFYUN,7,call this week,18,74.7,Month-to-month,Fiber optic,Electronic check
3452-GWUIN,7,call this week,19,94.95,Month-to-month,Fiber optic,Electronic check
1580-BMCMR,7,call this week,19,87.3,Month-to-month,Fiber optic,Electronic check
4716-HHKQH,7,call this week,20,107.05,Month-to-month,Fiber optic,Electronic check
4612-SSVHJ,7,call this week,20,81.45,Month-to-month,Fiber optic,Electronic check
1302-UHBDD,7,call this week,20,89.95,Month-to-month,Fiber optic,Electronic check
8875-AKBYH,7,call this week,20,84.35,Month-to-month,Fiber optic,Electronic check
5956-YHHRX,7,call this week,21,104.35,Month-to-month,Fiber optic,Electronic check
4824-GUCBY,7,call this week,22,81.7,Month-to-month,Fiber optic,Electronic check
2504-DSHIH,7,call this week,23,86.8,Month-to-month,Fiber optic,Electronic check
6242-MBHPK,7,call this week,23,95.1,Month-to-month,Fiber optic,Electronic check
6507-ZJSUR,7,call this week,23,90.45,Month-to-month,Fiber optic,Electronic check
5995-SNNEW,7,call this week,23,104.45,Month-to-month,Fiber optic,Electronic check
2322-VCZHZ,7,call this week,23,90,Month-to-month,Fiber optic,Electronic check
7278-CKDNC,7,call this week,24,80.5,Month-to-month,Fiber optic,Electronic check
0537-QYZZN,7,call this week,24,79.85,Month-to-month,Fiber optic,Electronic check
8040-MNRTF,6,call this week,1,71.1,Month-to-month,Fiber optic,Mailed check
1866-OBPNR,6,call this week,1,74.6,Month-to-month,Fiber optic,Credit card (automatic)
0817-HSUSE,6,call this week,1,75.5,Month-to-month,DSL,Electronic check
